epoch,logged_epoch,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/BrownSpot,val/AP/Healthy,val/AP/Hispa,val/AP/LeafBlast,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
149,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
199,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
249,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
298,0.0,1298.7010498046875,1298.1112060546875,1298.4962158203125,1297.40380859375,1298.6341552734375,40.276851654052734,29.681884765625,0.04322953522205353,0.058105889707803726,0.04890528321266174,0.04189862683415413,0.11341530084609985,0.9873075485229492,1.1143337488174438,1.0232741832733154,0.9964001774787903,0.998318076133728,0.05667745694518089,0.07784555852413177,0.06528893113136292,0.05587594583630562,0.1422843486070633,0.03342464566230774,0.03762326389551163,0.03419787436723709,0.0338607020676136,0.042631715536117554,0.03033929131925106,0.03713938221335411,0.031361088156700134,0.03040018305182457,0.041021477431058884,,,,0.6857932209968567,0.7141895294189453,0.6135503053665161,0.6618555784225464,0.6014247536659241,0.717529296875,0.6883571743965149,0.9550530314445496,0.6484962701797485,0.6342671513557434,25.643707275390625,0.6959125399589539,0.6688471436500549,0.6731464862823486,0.9526365995407104,0.6107496619224548,0.6444266438484192,0.6397151947021484,0.6263095736503601
299,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
349,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
399,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
449,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
499,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
549,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
597,1.0,1298.82568359375,1298.515869140625,1298.216552734375,1298.5665283203125,1298.9075927734375,20.938940048217773,24.845767974853516,0.041674692183732986,0.059955473989248276,0.05009989067912102,0.04211372882127762,0.10647886991500854,0.8051471710205078,0.9147483706474304,0.8422008156776428,0.8125218152999878,0.8387120366096497,0.0521916039288044,0.076689712703228,0.06381161510944366,0.05385974794626236,0.13293854892253876,0.02915109694004059,0.032367072999477386,0.030223773792386055,0.02962365373969078,0.03686010092496872,0.027730271220207214,0.030859997496008873,0.027727946639060974,0.02643781341612339,0.03272361308336258,,,,0.7231919765472412,0.7743778228759766,0.7785443663597107,0.6933286190032959,0.6881817579269409,0.7942737936973572,0.762851893901825,0.9600668549537659,0.7230758666992188,0.7070121169090271,22.591428756713867,0.780493974685669,0.7423607110977173,0.7465632557868958,0.9602113962173462,0.6991620659828186,0.6886743307113647,0.7160406112670898,0.6964156627655029
599,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
649,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
699,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
749,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
799,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
849,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
896,2.0,1298.864501953125,1298.167236328125,1298.529296875,1298.367919921875,1298.90966796875,18.48396110534668,23.932676315307617,0.03794165328145027,0.05755644664168358,0.046031404286623,0.038355275988578796,0.10724994540214539,0.7745485901832581,0.8812735676765442,0.8172516822814941,0.7800636291503906,0.8141502737998962,0.047570277005434036,0.07281581312417984,0.058795150369405746,0.04887384548783302,0.1298287957906723,0.02809440903365612,0.031154794618487358,0.029104089364409447,0.02841329760849476,0.036109231412410736,0.02584720589220524,0.02760070003569126,0.025164276361465454,0.0259392186999321,0.031532540917396545,,,,0.7184334397315979,0.7713101506233215,0.7787116765975952,0.62617427110672,0.7014882564544678,0.7953009605407715,0.7654924392700195,0.9565789699554443,0.7291572690010071,0.7141832709312439,22.67447853088379,0.7693654894828796,0.7236573696136475,0.7353355884552002,0.9553735852241516,0.7264454960823059,0.6798965930938721,0.7019458413124084,0.682683527469635
899,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,
